docdb_family_id,person_ctry_code,combined_count
58737839,NO,4
65019352,DE,1
65019352,NL,2
65019352,NO,1
65023730,GB,1
65023730,NO,4
65023730,US,1
65200684,NO,2
65200684,US,1
65528167,NO,6
65998867,NO,2
68208285,NO,2
69137772,NO,8
69143432,NO,1
69143432,NZ,1
69159551,NO,3
69159669,DE,2
69159669,NO,1
69172731,CH,1
69172731,NO,4
69177150,NO,2
69185494,NO,3
69187674,NO,4
