docdb_family_id,person_ctry_code,combined_ratio
58737839,NO,1.0
65019352,DE,0.25
65019352,NL,0.5
65019352,NO,0.25
65023730,GB,0.16666666666666666
65023730,NO,0.6666666666666666
65023730,US,0.16666666666666666
65200684,NO,0.6666666666666666
65200684,US,0.3333333333333333
65528167,NO,1.0
65998867,NO,1.0
68208285,NO,1.0
69137772,NO,1.0
69143432,NO,0.5
69143432,NZ,0.5
69159551,NO,1.0
69159669,DE,0.6666666666666666
69159669,NO,0.3333333333333333
69172731,CH,0.2
69172731,NO,0.8
69177150,NO,1.0
69185494,NO,1.0
69187674,NO,1.0
