docdb_family_id,person_ctry_code,inventor_ratio
65010658,DK,1.0
65363135,DK,1.0
69061392,DK,1.0
69104452,DK,1.0
69104455,FR,1.0
69105885,DE,0.7142857142857143
69105885,DK,0.2857142857142857
69137749,DK,1.0
69137789,DK,1.0
69137801,DK,0.75
69137801,PT,0.25
69147482,DK,0.25
69147482,US,0.75
69147539,DK,1.0
69147693,DE,0.45454545454545453
69147693,DK,0.2727272727272727
69147693,US,0.2727272727272727
69147694,DE,0.45454545454545453
69147694,DK,0.2727272727272727
69147694,US,0.2727272727272727
69159759,DE,0.45454545454545453
69159759,DK,0.2727272727272727
69159759,US,0.2727272727272727
69167794,DK,1.0
