docdb_family_id,person_ctry_code,inventor_count
65010658,DK,6
65363135,DK,10
69061392,DK,3
69104452,DK,4
69104455,FR,1
69105885,DE,5
69105885,DK,2
69137749,DK,3
69137789,DK,1
69137801,DK,3
69137801,PT,1
69147482,DK,1
69147482,US,3
69147539,DK,4
69147693,DE,5
69147693,DK,3
69147693,US,3
69147694,DE,5
69147694,DK,3
69147694,US,3
69159759,DE,5
69159759,DK,3
69159759,US,3
69167794,DK,3
