docdb_family_id,person_ctry_code,combined_ratio
65010658,DK,1.0
65363135,DK,1.0
69061392,DK,1.0
69104452,DK,1.0
69104455,DK,0.3333333333333333
69104455,FR,0.6666666666666666
69105885,DE,0.625
69105885,DK,0.375
69137749,DK,1.0
69137789,DK,1.0
69137801,DK,0.8
69137801,PT,0.2
69147482,DK,0.2
69147482,US,0.8
69147539,DK,1.0
69147693,DE,0.4166666666666667
69147693,DK,0.3333333333333333
69147693,US,0.25
69147694,DE,0.4166666666666667
69147694,DK,0.3333333333333333
69147694,US,0.25
69159759,DE,0.4166666666666667
69159759,DK,0.3333333333333333
69159759,US,0.25
69167794,DK,1.0
