docdb_family_id,person_ctry_code,inventor_count
65010599,SE,3
65013535,DE,3
65324259,SE,1
68610150,ES,2
68610151,CA,1
68610151,ES,4
69104324,AT,2
69104324,BE,1
69104324,FI,3
69104324,NL,1
69104324,SE,1
69104328,FI,2
69104328,SE,1
69104451,SE,5
69105737,SE,4
69137709,SE,4
69143590,SE,3
69147553,SE,4
69147557,SE,2
69147564,SE,2
69156186,SE,2
