docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,earliest_publn_date,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr
68610150,524556785,2020,WO,2020050210,3,2021-05-20,1,2,ES,"MUÃ‘OZ DE LA TORRE ALONSO, Miguel",74114908,32906966,,0,1
68610150,524642005,2020,EP,20700028,3,2022-09-21,1,2,SE,TELEFONAKTIEBOLAGET LM ERICSSON (publ),2593,25270921,COMPANY,1,0
68610150,524642005,2020,EP,20700028,3,2022-09-21,1,2,ES,"SANCHEZ VEGA, Veronica",57787404,22267124,,0,2
68610150,524642005,2020,EP,20700028,3,2022-09-21,1,2,ES,"MUÃ‘OZ DE LA TORRE ALONSO, Miguel, Angel",77753022,22248711,,0,1
68610150,609591842,2020,US,202017768682,3,2024-04-11,1,2,SE,Telefonaktiebolaget LM Ericsson (publ),5217733,2211,COMPANY,1,0
68610150,609591842,2020,US,202017768682,3,2024-04-11,1,2,ES,"MuÃ±oz De La Torre Alonso, Miguel Angel",12103450,1915652,INDIVIDUAL,0,1
68610150,609591842,2020,US,202017768682,3,2024-04-11,1,2,ES,"SANCHEZ VEGA, Veronica",52510140,22248711,,0,2
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,SE,Telefonaktiebolaget LM Ericsson (publ),5262071,2211,COMPANY,1,0
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,CA,"Foti, George",9685078,185855,INDIVIDUAL,0,5
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,ES,"CASTELLANOS ZAMORA, DAVID",12507106,1789372,INDIVIDUAL,0,1
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,ES,"DE-GREGORIO-RODRIGUEZ, JESUS-ANGEL",42282438,4482343,INDIVIDUAL,0,2
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,ES,"GARCIA MARTIN, MIGUEL ANGEL",47825206,898090,,0,4
68610151,524399071,2020,WO,2020050138,4,2021-05-20,1,5,ES,"DOPICO SANJUAN, Jose Miguel",71083084,30814396,,0,3
