docdb_family_id,person_ctry_code,inventor_count
58737839,NO,3
65019352,DE,1
65019352,NL,2
65023730,GB,1
65023730,NO,3
65200684,NO,1
65200684,US,1
65528167,NO,3
65998867,NO,1
68208285,NO,1
69137772,NO,7
69143432,NZ,1
69159551,NO,2
69159669,DE,1
69172731,NO,4
69177150,NO,1
69185494,NO,2
69187674,NO,2
