docdb_family_id,inventors,applicants,appln_ids
8099879,"Allan Svendsen, Bjarne Ronfeldt Nielsen, Frandsen Torben Peter, Frandsen, Torben Peter, Frandsen, Torben, Peter, Hanne Vang Hendriksen, Hendriksen Hanne Vang, Hendriksen, Hanne Vang, Hendriksen, Hanne, Vang, Henrik Pedersen, Jesper Vind, Nielsen Bjarne Ronfeldt, Nielsen, Bjarne Ronfeldt, Nielsen, Bjarne, Roenfeldt, Nielsen, Bjarne, Ronfeldt, Pedersen Henrik, Pedersen, Henrik, Svendsen Allan, Svendsen, Allan, Torben Peter Frandsen, Vind Jesper, Vind, Jesper","Frandsen, Torben Peter, Hendriksen, Hanne Vang, Nielsen, Bjarne Ronfeldt, Novozymes A/S, Novozymes As, Pedersen, Henrik, Svendsen, Allan, Vind, Jesper","3814, 524975, 2076149, 4741441, 6629047, 15450393, 15774418, 46155519, 50758100, 267622323, 274946758, 365752101"
8554520,", Andresen Lars L, Andresen, Lars L., Andresen, Lars, L., Andresen,Lars L., Bekkevold Jesper, Bekkevold, Jesper, Fjordstoem Lone B, Fjordstoem,Lone B., Fjordstrom, Lone B., Fjordstrom, Lone, B., Haakana Pirjo, Haakana, Pirjo, I12I12Oi12I12I12I12I12, Jesper Bekkevold, Lars L. Andresen, Lars.L. Anderson, Lone B. Fjordstrom, Lone.B. Fjordstrom, Nikola. Srot, Nikolaj Sloth, Pirjo Haakana, Sloth Nikolaj, Sloth, Nikolaj, Sloth,Nikolaj","Andresen, Lars, L., Bekkevold, Jesper, Fjordstrom, Lone, B., Haakana, Pirjo, Nokia Corp, Nokia Corporation, Nokia Networks Oy, Nokia Networks Oy,, Nokia Oy, Nokia Technologies Oy, Sloth, Nikolaj","1193, 467626, 1667806, 3457646, 4734262, 6626546, 18546663, 18548356, 39135150, 41305631, 448702913"
10865075,"C.H. Poursin, C.L. Johansen, Charlotte Horsmans Poulsen, Claus Lindvald Johansen, H. Peterson, Henrik Pedersen, Johansen Claus Lindvald, Johansen, Claus, Johansen, Claus Lindvald, Johansen, Claus, Lindvald, Kjaerulff Soeren, Kjaerulff, Soeren, Kjaerulff, Soren, Kjarulff, Sa Ren, M.R. Zagasi, Madrid Susan Mampusti, Madrid, Susan, Madrid, Susan Mampusti, Madrid, Susan, Mampusti, Madrid,Susan Mampusti, Masoud Rajabi Zargahi, Pedersen Henrik, Pedersen, Henrik, Poulsen Charlotte Horsmans, Poulsen, Charlotte, Poulsen, Charlotte Horsmans, Poulsen, Charlotte, Horsmans, Poulsen, Charlottehorsmans, S. Kjerulff, S.M. Madrid, Sa Ren Kj Aerulff, Soren Kjaerulff, Susan Mampusti Madrid, Zargahi Masoud Rajabi, Zargahi, Masoud, Zargahi, Masoud Rajabi, Zargahi, Masoud, Rajabi","Danisco A/S, Danisco A/S., Danisco As, Dupont Nutrition Biosciences Aps, Johansen, Claus, Lindvald, Kjaerulff, Soeren, Madrid, Susan, Mampusti, Pedersen, Henrik, Poulsen, Charlotte, Horsmans, Zargahi, Masoud, Rajabi","5674, 389891, 1524458, 3463313, 4760565, 6637368, 23303656, 24005989, 41312673, 42203807, 42464222, 56533676, 56604645, 57378407, 330381145, 330949384, 333566072, 336806080"
26074622," N  N1414N (Dk), Hansen Louis Brammer, Hansen, Louis, Hansen, Louis Brammer, Hansen, Louis, Brammer, Louis B. Hansen, Louis Brammer Hansen","Novo Nordisk A/S, Novo Nordisk A/S, Bagsvaerd, Novo Nordisk A/S., Novo Nordisk As, Zz Z  S / (Dk)","25131, 1716390, 3456611, 4728165, 6623963, 9041793, 14000320, 15450147, 15757431, 24284806, 42088251, 42459641, 42777505, 54908217, 54952203, 56779989, 606981504"
26153124,"Grove-Rasmussen Svend, Grove-Rasmussen, Svend, Svend Grove-Rasmussen","Grove-Rasmussen, Svend, Rockwool International A/S","22305, 1002612, 1419124, 15600222, 15789879, 42465550, 57201334, 606986163"
