docdb_family_id,person_ctry_code,applicant_ratio
8099879,DK,1.0
8554520,DK,0.8333333333333334
8554520,FI,0.16666666666666666
10865075,DK,0.875
10865075,unknown,0.125
26074622,DK,1.0
26153124,DK,1.0
