docdb_family_id,person_ctry_code,inventor_ratio
8099879,DK,1.0
8554520,DK,0.5555555555555556
8554520,FI,0.4444444444444444
10865075,DK,0.5
10865075,unknown,0.5
26074622,DK,1.0
26153124,DK,1.0
